# id	section	requirement	status	evidence
P00-001	0	Rust-native autonomous coding OS metadata is represented.	implemented	Cargo package and CLI runtime
P00-002	0	macOS first, Linux second, Windows later platform stance is represented.	artifact_mvp	platform-manifest.json records macOS first, Linux second, Windows later stance
P00-003	0	Tokio/content-addressed cache/worktree/stage scheduler/event-sourced runtime are represented.	artifact_mvp	cache artifacts, local stage scheduler, stage-overlap-report.json, isolated workspace snapshots, and event-sourced JSONL
P00-004	0	MCP, computer, browser, app, shell, file, design, QA, and security capability planes are represented.	artifact_mvp	tool-plan.json and CLI plane commands
P01-001	1.1	Cache-stable context rather than blind token reduction.	artifact_mvp	cache-warm-report.json and cache-hit-report.json with hashed local stable/dynamic segments and warm-prefix reuse metrics
P01-002	1.2	Automation from goal analysis through self-improve.	artifact_mvp	automation-loop.json represents goal analysis through self-improve stages with live/artifact status
P01-003	1.3	Autonomous coding runtime with evidence-backed completion/blocking.	artifact_mvp	goal-loop.json and final-seal.json
P01-004	1.4	Code, design, security, browser, and app QA in one goal loop.	artifact_mvp	qa-report.json with live local Rust checks and security-audit.json secret scan
P01-005	1.5	Design/image generation QA loop.	artifact_mvp	design static scan artifacts plus design-visual-diff-report.json for source visual-signature diffs; live screenshot/gpt-image-2 review remains unverified
P01-006	1.6	Voxel TriWiki accumulates repo/task/failure/provider/cache knowledge.	artifact_mvp	voxel index, voxel-triwiki.json, repo voxels, provider/security/design/cache classified voxels, and prd-coverage.json
P01-007	1.7	Rust engine, bounded scheduler, content-addressed context, provider cache, overlap metrics.	artifact_mvp	local scheduler, timed local checks, stage-overlap-report.json overlap metrics, and content-addressed cache segments
P01-008	1.8	Dynamic model-specific pipelines.	artifact_mvp	benchmark-report.json, multi-llm-roster.json, and collaboration-preflight.json model-family pipeline profiles
P01-009	1.9	Multi-LLM collaboration roles.	artifact_mvp	role-assignments.json maps planner, worker, verifier, judge, finalizer, design, and security roles
P01-010	1.10	OpenRouter first-class provider.	artifact_mvp	provider-capabilities.json marks OpenRouter as first-class multi-provider router
P01-011	1.11	Codex LB optional adapter; core independent.	artifact_mvp	provider-capabilities.json marks Codex LB as optional with core_required=false
P01-012	1.12	GPT and Claude OAuth where possible.	artifact_mvp	auth-policy.json lists OpenAI and Claude as OAuth candidates without exposing secrets
P01-013	1.13	Local LLM support.	artifact_mvp	provider probe artifacts for Ollama, LM Studio, and OpenAI-compatible local endpoints
